item,day
Chillies Cleaned,14
Potato(M),44
Spring Onion,27
Spring Onion(Cleaned),34
Ground nut oil 1 lt,211
G.nut oil Premium1 lt,193
G.nut oil Rice Bron 1 lt,289
G. nut oil Rice 1 lt,144
G. nut oil safal deep1 lt,133
G. nut Golden oil 1 lt,184
G. nut sungold 1 lt,13
Mango Raw Amblet,8
Mango Raw,10
Jukani,13
Banana cooking R.Banana,10
Avarekai (Field Beans ),11
Avarebele (F. Beans spok),8
Avare seed (FB seeds),10
Brucoli,7
Kakadi,9
Corriander Leave,3
Curry leave,3
Orange malt,15
Dhantu greens,4
Mint Leaves,4
Apple Delicious,18
Apple Simla,21
Apple Economy,24
Sun safal Tin 15 lt,5
Sungold oil 5 lt packet,237
Pepper,11
Grapes Sonika,3
Grapes Flame,6
Grapes Krishna sharad,6
Batani kalu,11
BaleDindu (Banana stem),8
Basale Greens,3
Pomegranate A.raktha,14
Pomegranate Ganesh,11
Sweet Potato(Genasu),31
Papaya nati,8
Raddish,44
Raddish Red,17
Papaya Taiwan,9
Papaya Red lady,8
Papaya sola,6
Pineapple,14
Plum Ooty,3
Menthya Greens,2
Palak Greens,2
Parvala,12
Greens Sabbakki,3
Molake kalu,12
Hesaru kalu,6
Banana Nendra,6
Rice Bran 15 lt Tin,364
Banana karpura,10
Banana Rasabale,11
Honney 200 gm,9
Honney 100 gm,12
Gulkan 1 kg,122
Grapes T.S.,4
Grapes Red globe,4
Grapes Dry 250gm,4
Indian red globe,14
Washington red apple,23
Apple Premium,24
Malenian apple,14
Nagapur Orange Economy,11
South Af.red berry,5
Jumbu juice,4
Brahmi amla juice,3
Pomegranate Juice,14
N.Juice 200 ml,3
Amla,6
Beans,5
Beans Nati,12
Beans Ring,10
Beans Fruit,6
Beans cleaned,10
Brinjal long,8
Brinjal (W),10
Brinjal (R),7
Brinjal Bottle,8
Cherry Tomoto,11
Drumstik,13
Double Beans seeds,7
Double Beans,12
Brinjal Mlore,6
Ground nut Local,12
Lime Pickles,134
mango Pickles,220
Pickles mixed veg,285
Pickles,326
Chicco(Sapota) rapined,9
Custerd Apple,21
Chicco(Sapota),8
Gulkan 1/4 kg,127
Grapes Dry 100gm,3
Gulkan 1/2 kg,155
Lime Local,14
Little gourd,6
Lime Bijapur,11
Mushroom Button,3
Onion pack,20
Potato pack,19
Chilakarive green,14
Jack fruit,12
Indian Black globe Grapes,4
Beet Root,7
Yam/S.Root,38
Bitter Gourd,12
Bottle Gourd,8
Chow-Chow,12
Cucumber,10
Cucumber Nati,8
Cucumber Israle,6
Cucumber Ooty,8
Cluster Beans Bunches,8
Cucumber white,8
Kashini (Ganike) Greens,4
Sweet corn seeds,10
Bale hoovu(B.flower),10
Letteus Greens,2
Onion flowers,34
Chain Berry,5
Y.Bananan T.N.,5
Maize,14
Byladha Hannu,13
Net rich 5 lt oil,296
Mineral water 1 lt,6
Chikkadikai Round,13
Indian kinora apple,20
South Africa Gala apple,20
Selari,6
Papaya Taiwan,10
Raddish Red,16
Raddish,30
Papaya nati,9
Sweet Potato(Genasu),37
Pomegranate Ganesh,10
Pomegranate A.raktha,15
Basale Greens,4
BaleDindu (Banana stem),6
Batani kalu,12
Grapes Krishna sharad,6
Grapes Flame,3
Grapes Sonika,4
Pepper,5
Sungold oil 5 lt packet,250
Sun safal Tin 15 lt,9
Apple Economy,21
Apple Simla,20
Apple Delicious,20
Ground nut Local,9
Brinjal Mlore,9
Double Beans,13
Double Beans seeds,7
Drumstik,9
Cherry Tomoto,6
Brinjal Bottle,11
Brinjal (R),6
Brinjal (W),9
Brinjal long,9
Beans cleaned,13
Beans Fruit,6
Beans Ring,12
Beans Nati,7
Beans,7
Amla,6
N.Juice 200 ml,2
Pomegranate Juice,16
Brahmi amla juice,2
Jumbu juice,4
South Af.red berry,5
Nagapur Orange Economy,17
Malenian apple,17
Apple Premium,17
Washington red apple,13
Indian red globe,7
Grapes Dry 250gm,6
Grapes Red globe,4
Grapes T.S.,5
Gulkan 1 kg,167
Honney 100 gm,5
Honney 200 gm,14
Banana Rasabale,10
Banana karpura,8
Rice Bran 15 lt Tin,245
Banana Nendra,10
Selari,7
South Africa Gala apple,16
Indian kinora apple,12
Chikkadikai Round,6
Mineral water 1 lt,7
Net rich 5 lt oil,353
Byladha Hannu,11
Maize,5
Y.Bananan T.N.,5
Chain Berry,6
Onion flowers,23
Letteus Greens,4
Bale hoovu(B.flower),13
Sweet corn seeds,8
Kashini (Ganike) Greens,4
Cucumber white,9
Cluster Beans Bunches,9
Cucumber Ooty,5
Cucumber Israle,8
Cucumber Nati,5
Cucumber,6
Chow-Chow,10
Bottle Gourd,9
Bitter Gourd,8
Yam/S.Root,17
Beet Root,5
Indian Black globe Grapes,3
Jack fruit,5
Chilakarive green,11
Potato pack,19
Onion pack,32
Mushroom Button,3
Lime Bijapur,20
Little gourd,6
Lime Local,16
Gulkan 1/2 kg,157
Grapes Dry 100gm,6
Gulkan 1/4 kg,97
Chicco(Sapota),11
Custerd Apple,22
Chicco(Sapota) rapined,11
Pickles,244
Pickles mixed veg,357
mango Pickles,341
Lime Pickles,228
Rumenia Mango,8
Apple Chaina Delicious,16
Washington gala apple,14
Chilles small cleaned (C.B.P),11
Thogari kai,9
G.oil Net rich 500 ml,249
Fruit Juice Tailand,3
Tender Coco packed,14
Tender Coconut(S),9
Pista,122
Dates Arebian,300
Thinda,9
Tamarind seedless,30
Tamrind Chatisghar,10
Tender Coconut(M),12
Tender Coconut,12
Straw Berry,4
Litchi Taiwan/chaina,4
Litchi Local,4
Kiwi fruit,6
Komark fruit,14
Jambo fruit(Nerale),123
Dry fruit mixed,163
Badami,316
Dry apricot,6
Dates seedless,225
Orange Australia,11
Orange Ooty,22
Orange Nagpura,12
Orange,14
Mango sakkaregutti,10
Tomoto,9
Sweet corn seeds spok,7
Sweet corn cleaned,11
Dry dates,231
Dates,172
Carrot Nati,8
Carrot Delhi,8
Carrot ooty,10
Chillies small (C.B.P),9
Potato Baby,26
Potato(S),20
Potato(B),16
Pomegranate Bhagav,10
Pomegranate,23
Orange South Africa,22
Cashew nut,206
Cherry kashmir,4
Cherry fruit,5
Ber fruit/Bore fruit,6
Sweet corn,7
Chakota greens,4
Eggs,2
Arive greens,4
knol-khol,10
Ladys finger,12
Herali kai,10
Ginger ooty,27
Fanda,10
Jam 100 gm,118
Jam 200 gm,169
Apple Fuji chaina,19
Apple Green smith,23
Apple hazarath palli,11
Mango Alphans box,7
Mango Raspuri,5
Mango rathnagiri(red),10
Mango Amarpalli,11
Mango Kesar,11
Mango Langada,8
Mango Dasheri,5
Mango Neelam,5
Mango kalapadu,6
Mango thotapuri,8
Mango mallika,7
Mango malagova,5
Mango Bygan palli,11
Mango Sendura,7
Peas Delhi,12
Peas local,14
Cluster Bean Local,11
Mangalore cucumber,11
Berry Green,3
Berry ball,6
Berry Golden,6
Onion samber,23
Berry Southafrica,4
Onion small(Economy),17
Onion Big,32
Mango Alphans,9
Mango Badami,185
Mango,8
Honney 1 Kg,10
Honney 1/2,8
Copra,254
Chocolates Drink box,101
Apple Golden delicious,24
Banana chandra,9
Banana Yellaki,11
Banana pachabale,8
Apple Chilli,22
Bread fruit,5
Peas seeds,9
Anjura/Fig,5
Butter fruit,11
Bore fruit,8
S.mellon Local (Luck),19
S.mellon namdhari (Red),14
Mosambi polo,13
Mosambi,7
S.mellon namdhari,18
Watermellon kiran,10
Watermellon,20
Tamarind sweet 500gm,18
Rampal,6
Rose apple,16
Pomello/Chakotha,12
Times Rose berry,6
Grapesh Tash ganesh,5
Chikkadikai cleaned,10
Orange juice,21
Thiland Jelly,4
Thiland Juice,3
Pineapple juice,13
Apple juice,16
Litchi Juice,4
Parsley,14
Leeks,10
Baby corn cleaned,12
Baby corn,14
Chillies Bajji yagani,13
Onion medium,35
Mushroom Oyster,3
Mushroom Milky,3
Papaya red indian,5
Grapes Blore blue,6
Guava Allahabad(Red),6
Guava,11
Sungold oil 5 lt,229
Rice Bran 5 lt,248
Tamarind Paste 150 gm,133
Cauliflower per Kg,8
Cauliflower(S),14
Cauliflower(M),12
Cauliflower(B),7
Cabbage chaina,6
Cabbage Red,7
Cabbage,11
Coconut (OS),9
Coconut (S),12
Coconut (M),5
Coconut (B),11
Cowpea Long,9
Cowpea Local,9
Peaches,5
Plum Australia,3
Chikadi kai,9
Garlic cleaned,22
Garlic,33
Kashini greens,2
Ginger New,31
Ginger,30
Ground nut Hybrid,12
Grapes Crimson,4
Jam 1/2 kg,133
Jam 1 kg,142
Coconut oil 500 ml,283
Stevia powder,203
Apple Newzeland,14
Apple Australia,16
Apple Washington,23
Mint Leaves,3
Dhantu greens,4
Orange malt,20
Curry leave,4
Corriander Leave,4
Kakadi,8
Brucoli,5
Avare seed (FB seeds),8
Avarebele (F. Beans spok),7
Avarekai (Field Beans ),14
Banana cooking R.Banana,10
Jukani,12
Mango Raw,7
Mango Raw Amblet,6
G. nut sungold 1 lt,11
G. nut Golden oil 1 lt,170
G. nut oil safal deep1 lt,178
G. nut oil Rice 1 lt,161
G.nut oil Rice Bron 1 lt,266
G.nut oil Premium1 lt,255
Ground nut oil 1 lt,145
Spring Onion(Cleaned),32
Spring Onion,26
Potato(M),30
Chillies Cleaned,13
Chillies Bajji,12
Chillies Green,8
Pumpkin Japan,13
Pumpkin Red,5
Pumpkin Ash,14
Capsicum Red/Yellow,5
Capsicum 1,10
Capsicum,5
Sham gadde,12
Snake Gourd(S),5
Snake Gourd,14
Berry Delhi,3
GrapesAnabi shahi,3
Sponge Gourd,6
Berry Soft,4
Berry fruit Ooty,4
Peas Ooty,9
Peas Dharwad,11
Grapes Rose,4
Grapes Sharad,6
Grapes Dilkush,3
Tamarind Paste 450 gm,121
Safal deep 500 ml,9
Ground nut oil 5 lt,283
Hesaru kalu,13
Molake kalu,10
Greens Sabbakki,2
Parvala,8
Palak Greens,2
Menthya Greens,4
Plum Ooty,6
Pineapple,18
Papaya sola,5
Papaya Red lady,8
Apple hazarath palli,24
Apple Green smith,14
Apple Fuji chaina,20
Jam 200 gm,95
Jam 100 gm,140
Fanda,7
Ginger ooty,20
Herali kai,12
Ladys finger,6
knol-khol,14
Arive greens,4
Eggs,2
Chakota greens,2
Sweet corn,11
Ber fruit/Bore fruit,6
Cherry fruit,3
Cherry kashmir,3
Cashew nut,248
Orange South Africa,15
Pomegranate,11
Pomegranate Bhagav,21
Potato(B),44
Potato(S),25
Potato Baby,23
Chillies small (C.B.P),11
Carrot ooty,5
Carrot Delhi,8
Carrot Nati,11
Dates,145
Dry dates,146
Sweet corn cleaned,5
Sweet corn seeds spok,11
Tomoto,9
Mango sakkaregutti,9
Orange,18
Orange Nagpura,16
Orange Ooty,21
Orange Australia,23
Dates seedless,155
Dry apricot,5
Badami,171
Dry fruit mixed,127
Jambo fruit(Nerale),90
Komark fruit,14
Kiwi fruit,5
Litchi Local,4
Litchi Taiwan/chaina,5
Straw Berry,6
Tender Coconut,7
Tender Coconut(M),14
Tamrind Chatisghar,11
Tamarind seedless,43
Thinda,12
Dates Arebian,153
Pista,287
Tender Coconut(S),14
Tender Coco packed,10
Fruit Juice Tailand,3
G.oil Net rich 500 ml,316
Thogari kai,14
Chilles small cleaned (C.B.P),9
Washington gala apple,16
Apple Chaina Delicious,13
Rumenia Mango,8
Banana pachabale,6
Banana Yellaki,5
Banana chandra,9
Apple Golden delicious,20
Chocolates Drink box,96
Copra,257
Honney 1/2,5
Honney 1 Kg,9
Mango,5
Mango Badami,289
Mango Alphans,9
Onion Big,37
Onion small(Economy),31
Berry Southafrica,3
Onion samber,42
Berry Golden,4
Berry ball,5
Berry Green,6
Mangalore cucumber,6
Cluster Bean Local,6
Peas local,12
Peas Delhi,8
Mango Sendura,7
Mango Bygan palli,8
Mango malagova,10
Mango mallika,6
Mango thotapuri,5
Mango kalapadu,5
Mango Neelam,11
Mango Dasheri,11
Mango Langada,6
Mango Kesar,11
Mango Amarpalli,9
Mango rathnagiri(red),6
Mango Raspuri,11
Mango Alphans box,6
Tamarind Paste 150 gm,112
Rice Bran 5 lt,301
Sungold oil 5 lt,175
Guava,9
Guava Allahabad(Red),11
Grapes Blore blue,6
Papaya red indian,11
Mushroom Milky,3
Mushroom Oyster,2
Onion medium,27
Chillies Bajji yagani,10
Baby corn,11
Baby corn cleaned,6
Leeks,7
Parsley,11
Litchi Juice,5
Apple juice,21
Pineapple juice,20
Thiland Juice,2
Thiland Jelly,3
Orange juice,23
Chikkadikai cleaned,13
Grapesh Tash ganesh,5
Times Rose berry,5
Pomello/Chakotha,16
Rose apple,17
Rampal,12
Tamarind sweet 500gm,32
Watermellon,13
Watermellon kiran,18
S.mellon namdhari,22
Mosambi,9
Mosambi polo,13
S.mellon namdhari (Red),14
S.mellon Local (Luck),10
Bore fruit,9
Butter fruit,8
Anjura/Fig,5
Peas seeds,5
Bread fruit,8
Apple Chilli,12
Apple Washington,16
Apple Australia,21
Apple Newzeland,22
Stevia powder,304
Coconut oil 500 ml,201
Jam 1 kg,125
Jam 1/2 kg,131
Grapes Crimson,6
Ground nut Hybrid,13
Ginger,35
Ginger New,38
Kashini greens,4
Garlic,29
Garlic cleaned,28
Chikadi kai,10
Plum Australia,4
Peaches,5
Cowpea Local,14
Cowpea Long,6
Coconut (B),14
Coconut (M),11
Coconut (S),14
Coconut (OS),11
Cabbage,5
Cabbage Red,13
Cabbage chaina,14
Cauliflower(B),14
Cauliflower(M),13
Cauliflower(S),10
Cauliflower per Kg,11
Ground nut oil 5 lt,122
Safal deep 500 ml,12
Tamarind Paste 450 gm,175
Grapes Dilkush,4
Grapes Sharad,6
Grapes Rose,4
Peas Dharwad,6
Peas Ooty,12
Berry fruit Ooty,3
Berry Soft,3
Sponge Gourd,12
GrapesAnabi shahi,4
Berry Delhi,5
Snake Gourd,7
Snake Gourd(S),13
Sham gadde,13
Capsicum,5
Capsicum 1,7
Capsicum Red/Yellow,5
Pumpkin Ash,11
Pumpkin Red,5
Pumpkin Japan,14
Chillies Green,10
Chillies Bajji,7
Chillies Cleaned,7
Potato(M),43
Spring Onion,29
Spring Onion(Cleaned),42
Ground nut oil 1 lt,206
G.nut oil Premium1 lt,168
G.nut oil Rice Bron 1 lt,127
G. nut oil Rice 1 lt,208
G. nut oil safal deep1 lt,335
G. nut Golden oil 1 lt,221
G. nut sungold 1 lt,8
Mango Raw Amblet,10
Mango Raw,8
Jukani,5
Banana cooking R.Banana,8
Avarekai (Field Beans ),11
Avarebele (F. Beans spok),6
Avare seed (FB seeds),12
Brucoli,13
Kakadi,5
Corriander Leave,3
Curry leave,2
Orange malt,23
Dhantu greens,3
Mint Leaves,4
Apple Delicious,13
Apple Simla,15
Apple Economy,24
Sun safal Tin 15 lt,9
Sungold oil 5 lt packet,187
Pepper,10
Grapes Sonika,5
Grapes Flame,3
Grapes Krishna sharad,5
Batani kalu,13
BaleDindu (Banana stem),6
Basale Greens,2
Pomegranate A.raktha,23
Pomegranate Ganesh,21
Sweet Potato(Genasu),30
Papaya nati,8
Raddish,32
Raddish Red,22
Papaya Taiwan,11
Papaya Red lady,8
Papaya sola,9
Pineapple,11
Plum Ooty,4
Menthya Greens,4
Palak Greens,2
Parvala,10
Greens Sabbakki,3
Molake kalu,14
Hesaru kalu,9
Banana Nendra,11
Rice Bran 15 lt Tin,291
Banana karpura,11
Banana Rasabale,6
Honney 200 gm,13
Honney 100 gm,14
Gulkan 1 kg,136
Grapes T.S.,3
Grapes Red globe,4
Grapes Dry 250gm,4
Indian red globe,12
Washington red apple,11
Apple Premium,15
Malenian apple,13
Nagapur Orange Economy,12
South Af.red berry,6
Jumbu juice,4
Brahmi amla juice,3
Pomegranate Juice,18
N.Juice 200 ml,2
Amla,14
Beans,8
Beans Nati,12
Beans Ring,12
Beans Fruit,14
Beans cleaned,9
Brinjal long,11
Brinjal (W),5
Brinjal (R),7
Brinjal Bottle,7
Cherry Tomoto,7
Drumstik,12
Double Beans seeds,8
Double Beans,7
Brinjal Mlore,11
Ground nut Local,14
Lime Pickles,240
mango Pickles,323
Pickles mixed veg,225
Pickles,225
Chicco(Sapota) rapined,10
Custerd Apple,21
Chicco(Sapota),6
Gulkan 1/4 kg,97
Grapes Dry 100gm,3
Gulkan 1/2 kg,175
Lime Local,13
Little gourd,5
Lime Bijapur,24
Mushroom Button,3
Onion pack,44
Potato pack,22
Chilakarive green,8
Jack fruit,6
Indian Black globe Grapes,4
Beet Root,14
Yam/S.Root,15
Bitter Gourd,11
Bottle Gourd,13
Chow-Chow,10
Cucumber,9
Cucumber Nati,8
Cucumber Israle,7
Cucumber Ooty,6
Cluster Beans Bunches,11
Cucumber white,7
Kashini (Ganike) Greens,3
Sweet corn seeds,5
Bale hoovu(B.flower),6
Letteus Greens,3
Onion flowers,44
Chain Berry,6
Y.Bananan T.N.,8
Maize,9
Byladha Hannu,12
Net rich 5 lt oil,364
Mineral water 1 lt,5
Chikkadikai Round,14
Indian kinora apple,16
South Africa Gala apple,17
Selari,8
Rumenia Mango,5
Apple Chaina Delicious,19
Washington gala apple,19
Chilles small cleaned (C.B.P),8
G.oil Net rich 500 ml,209
Fruit Juice Tailand,2
Tender Coco packed,12
Tender Coconut(S),8
Pista,200
Dates Arebian,296
Thinda,8
Tamarind seedless,30
Tamrind Chatisghar,14
Tender Coconut(M),11
Tender Coconut,9
Straw Berry,5
Litchi Taiwan/chaina,3
Litchi Local,4
Kiwi fruit,3
Komark fruit,13
Jambo fruit(Nerale),101
Dry fruit mixed,170
Badami,143
Dry apricot,14
Dates seedless,300
Orange Australia,14
Orange Ooty,24
Orange Nagpura,16
Orange,22
Mango sakkaregutti,5
Tomoto,5
Sweet corn seeds spok,7
Sweet corn cleaned,6
Dry dates,172
Dates,240
Carrot Nati,5
Carrot Delhi,8
Carrot ooty,9
Chillies small (C.B.P),14
Potato Baby,44
Potato(S),20
Potato(B),38
Pomegranate Bhagav,15
Pomegranate,21
Orange South Africa,22
Cashew nut,336
Cherry kashmir,6
Cherry fruit,5
Ber fruit/Bore fruit,7
Sweet corn,6
Chakota greens,2
Eggs,2
Arive greens,2
knol-khol,12
Ladys finger,11
Herali kai,7
Ginger ooty,29
Fanda,13
Jam 100 gm,104
Jam 200 gm,135
Apple Fuji chaina,12
Apple Green smith,18
Apple hazarath palli,10
Mango Alphans box,5
Mango Raspuri,7
Mango rathnagiri(red),5
Mango Amarpalli,7
Mango Kesar,9
Mango Langada,10
Mango Dasheri,11
Mango Neelam,10
Mango kalapadu,9
Mango thotapuri,5
Mango mallika,8
Mango malagova,9
Mango Bygan palli,7
Mango Sendura,11
Peas Delhi,12
Peas local,9
Cluster Bean Local,12
Mangalore cucumber,10
Berry Green,3
Berry ball,3
Berry Golden,5
Onion samber,42
Berry Southafrica,5
Onion small(Economy),35
Onion Big,43
Mango Alphans,5
Mango Badami,219
Mango,10
Honney 1 Kg,6
Honney 1/2,7
Copra,360
Chocolates Drink box,115
Apple Golden delicious,19
Banana chandra,11
Banana Yellaki,11
Banana pachabale,11
Apple Chilli,15
Bread fruit,7
Peas seeds,5
Anjura/Fig,4
Butter fruit,5
Bore fruit,7
S.mellon Local (Luck),12
S.mellon namdhari (Red),10
Mosambi polo,12
Mosambi,11
S.mellon namdhari,23
Watermellon kiran,23
Watermellon,20
Tamarind sweet 500gm,30
Rampal,10
Rose apple,23
Pomello/Chakotha,16
Times Rose berry,5
Grapesh Tash ganesh,4
Chikkadikai cleaned,12
Orange juice,16
Thiland Jelly,2
Thiland Juice,4
Pineapple juice,17
Apple juice,21
Litchi Juice,6
Parsley,11
Leeks,14
Baby corn cleaned,14
Baby corn,6
Chillies Bajji yagani,7
Onion medium,36
Mushroom Oyster,4
Mushroom Milky,3
Papaya red indian,8
Grapes Blore blue,6
Guava Allahabad(Red),6
Guava,6
Sungold oil 5 lt,132
Rice Bran 5 lt,250
Tamarind Paste 150 gm,101
Cauliflower per Kg,12
Cauliflower(S),14
Cauliflower(M),13
Cauliflower(B),10
Cabbage chaina,10
Cabbage Red,10
Cabbage,12
Coconut (OS),6
Coconut (S),6
Coconut (M),14
Coconut (B),10
Cowpea Long,11
Cowpea Local,14
Peaches,3
Plum Australia,4
Chikadi kai,7
Garlic cleaned,24
Garlic,29
Kashini greens,4
Ginger New,42
Ginger,36
Ground nut Hybrid,14
Grapes Crimson,3
Jam 1/2 kg,149
Jam 1 kg,106
Coconut oil 500 ml,198
Stevia powder,162
Apple Newzeland,21
Apple Australia,13
Apple Washington,23
Mint Leaves,4
Dhantu greens,3
Orange malt,20
Thogari kai,10
Curry leave,4
Corriander Leave,2
Kakadi,9
Brucoli,5
Avare seed (FB seeds),6
Avarebele (F. Beans spok),10
Avarekai (Field Beans ),7
Banana cooking R.Banana,11
Jukani,5
Mango Raw,11
Mango Raw Amblet,11
G. nut sungold 1 lt,7
G. nut Golden oil 1 lt,276
G. nut oil safal deep1 lt,253
G. nut oil Rice 1 lt,296
G.nut oil Rice Bron 1 lt,210
G.nut oil Premium1 lt,312
Ground nut oil 1 lt,360
Spring Onion(Cleaned),36
Spring Onion,16
Potato(M),40
Chillies Cleaned,12
Chillies Bajji,13
Chillies Green,10
Pumpkin Japan,13
Pumpkin Red,11
Pumpkin Ash,14
Capsicum Red/Yellow,7
Capsicum 1,8
Capsicum,5
Sham gadde,11
Snake Gourd(S),9
Snake Gourd,11
Berry Delhi,3
GrapesAnabi shahi,5
Sponge Gourd,7
Berry Soft,3
Berry fruit Ooty,5
Peas Ooty,12
Peas Dharwad,8
Grapes Rose,4
Grapes Sharad,4
Grapes Dilkush,6
Tamarind Paste 450 gm,95
Safal deep 500 ml,5
Ground nut oil 5 lt,361
Hesaru kalu,13
Molake kalu,7
Greens Sabbakki,3
Parvala,9
Palak Greens,3
Menthya Greens,4
Plum Ooty,3
Pineapple,15
Papaya sola,7
Papaya Red lady,7
Papaya Taiwan,9
Raddish Red,19
Raddish,25
Papaya nati,7
Sweet Potato(Genasu),22
Pomegranate Ganesh,14
Pomegranate A.raktha,24
Basale Greens,4
BaleDindu (Banana stem),5
Batani kalu,5
Grapes Krishna sharad,6
Grapes Flame,3
Grapes Sonika,3
Pepper,11
Sungold oil 5 lt packet,230
Sun safal Tin 15 lt,7
Apple Economy,20
Apple Simla,19
Apple Delicious,11
Ground nut Local,6
Brinjal Mlore,11
Double Beans,10
Double Beans seeds,10
Drumstik,10
Cherry Tomoto,6
Brinjal Bottle,11
Brinjal (R),7
Brinjal (W),6
Brinjal long,7
Beans cleaned,5
Beans Fruit,7
Beans Ring,10
Beans Nati,11
Beans,14
Amla,7
N.Juice 200 ml,2
Pomegranate Juice,19
Brahmi amla juice,3
Jumbu juice,4
South Af.red berry,3
Nagapur Orange Economy,15
Malenian apple,23
Apple Premium,20
Washington red apple,11
Indian red globe,13
Grapes Dry 250gm,5
Grapes Red globe,6
Grapes T.S.,6
Gulkan 1 kg,116
Honney 100 gm,6
Honney 200 gm,14
Banana Rasabale,8
Banana karpura,10
Rice Bran 15 lt Tin,335
Banana Nendra,8
Selari,13
South Africa Gala apple,24
Indian kinora apple,23
Chikkadikai Round,8
Mineral water 1 lt,10
Net rich 5 lt oil,348
Byladha Hannu,10
Maize,7
Y.Bananan T.N.,9
Chain Berry,6
Onion flowers,26
Letteus Greens,4
Bale hoovu(B.flower),11
Sweet corn seeds,8
Kashini (Ganike) Greens,2
Cucumber white,10
Cluster Beans Bunches,13
Cucumber Ooty,5
Cucumber Israle,9
Cucumber Nati,5
Cucumber,5
Chow-Chow,7
Bottle Gourd,6
Bitter Gourd,10
Yam/S.Root,29
Beet Root,13
Indian Black globe Grapes,4
Jack fruit,11
Chilakarive green,5
Potato pack,40
Onion pack,28
Mushroom Button,3
Lime Bijapur,19
Little gourd,8
Lime Local,21
Gulkan 1/2 kg,179
Grapes Dry 100gm,5
Gulkan 1/4 kg,102
Chicco(Sapota),6
Custerd Apple,14
Chicco(Sapota) rapined,8
Pickles,153
Pickles mixed veg,173
mango Pickles,224
Lime Pickles,330
Apple hazarath palli,15
Apple Green smith,23
Apple Fuji chaina,18
Jam 200 gm,174
Jam 100 gm,159
Fanda,5
Ginger ooty,30
Herali kai,12
Ladys finger,14
knol-khol,7
Arive greens,3
Eggs,4
Chakota greens,3
Sweet corn,5
Ber fruit/Bore fruit,8
Cherry fruit,6
Cherry kashmir,6
Cashew nut,271
Orange South Africa,13
Pomegranate,13
Pomegranate Bhagav,16
Potato(B),40
Potato(S),43
Potato Baby,38
Chillies small (C.B.P),10
Carrot ooty,8
Carrot Delhi,9
Carrot Nati,9
Dates,231
Dry dates,334
Sweet corn cleaned,5
Sweet corn seeds spok,6
Tomoto,8
Mango sakkaregutti,7
Orange,10
Orange Nagpura,16
Orange Ooty,24
Orange Australia,15
Dates seedless,129
Dry apricot,12
Badami,201
Dry fruit mixed,316
Jambo fruit(Nerale),90
Komark fruit,14
Kiwi fruit,3
Litchi Local,4
Litchi Taiwan/chaina,3
Straw Berry,5
Tender Coconut,11
Tender Coconut(M),8
Tamrind Chatisghar,10
Tamarind seedless,32
Thinda,6
Dates Arebian,192
Pista,244
Tender Coconut(S),5
Tender Coco packed,10
Fruit Juice Tailand,2
G.oil Net rich 500 ml,322
Chilles small cleaned (C.B.P),10
Washington gala apple,13
Apple Chaina Delicious,14
Rumenia Mango,9
Banana pachabale,8
Banana Yellaki,9
Banana chandra,7
Apple Golden delicious,20
Chocolates Drink box,107
Copra,141
Honney 1/2,13
Honney 1 Kg,9
Mango,10
Mango Badami,265
Mango Alphans,9
Onion Big,20
Onion small(Economy),42
Berry Southafrica,4
Onion samber,29
Berry Golden,4
Berry ball,5
Berry Green,5
Mangalore cucumber,6
Cluster Bean Local,11
Peas local,12
Peas Delhi,12
Mango Sendura,11
Mango Bygan palli,10
Mango malagova,10
Mango mallika,7
Mango thotapuri,8
Mango kalapadu,6
Mango Neelam,6
Mango Dasheri,5
Mango Langada,9
Mango Kesar,11
Mango Amarpalli,9
Mango rathnagiri(red),5
Mango Raspuri,9
Mango Alphans box,7
Tamarind Paste 150 gm,97
Rice Bran 5 lt,149
Sungold oil 5 lt,198
Guava,6
Guava Allahabad(Red),5
Grapes Blore blue,6
Papaya red indian,11
Mushroom Milky,4
Mushroom Oyster,4
Onion medium,28
Chillies Bajji yagani,13
Baby corn,6
Baby corn cleaned,10
Leeks,14
Parsley,11
Litchi Juice,6
Apple juice,12
Pineapple juice,19
Thiland Juice,4
Thiland Jelly,3
Orange juice,24
Chikkadikai cleaned,6
Grapesh Tash ganesh,4
Times Rose berry,4
Pomello/Chakotha,16
Rose apple,22
Rampal,14
Tamarind sweet 500gm,34
Watermellon,16
Watermellon kiran,22
S.mellon namdhari,15
Mosambi,8
Mosambi polo,9
S.mellon namdhari (Red),20
S.mellon Local (Luck),17
Bore fruit,10
Butter fruit,7
Anjura/Fig,6
Peas seeds,14
Bread fruit,12
Apple Chilli,16
Apple Washington,13
Apple Australia,11
Apple Newzeland,11
Stevia powder,201
Coconut oil 500 ml,121
Jam 1 kg,102
Jam 1/2 kg,145
Grapes Crimson,4
Ground nut Hybrid,9
Ginger,44
Ginger New,27
Kashini greens,4
Garlic,41
Garlic cleaned,40
Chikadi kai,11
Plum Australia,6
Peaches,5
Cowpea Local,6
Cowpea Long,12
Coconut (B),10
Coconut (M),12
Coconut (S),7
Coconut (OS),7
Cabbage,14
Cabbage Red,7
Cabbage chaina,13
Cauliflower(B),10
Cauliflower(M),13
Cauliflower(S),6
Cauliflower per Kg,14
Ground nut oil 5 lt,144
Safal deep 500 ml,14
Tamarind Paste 450 gm,172
Grapes Dilkush,4
Grapes Sharad,4
Grapes Rose,4
Peas Dharwad,12
Peas Ooty,7
Berry fruit Ooty,6
Berry Soft,5
Sponge Gourd,8
